nm, %T
600.000000, 10.281060
599.750000, 10.272960
599.500000, 10.272513
599.250000, 10.260351
599.000000, 10.262503
598.750000, 10.252406
598.500000, 10.247644
598.250000, 10.243367
598.000000, 10.243432
597.750000, 10.235530
597.500000, 10.236422
597.250000, 10.233033
597.000000, 10.227983
596.750000, 10.223680
596.500000, 10.222909
596.250000, 10.217564
596.000000, 10.218183
595.750000, 10.213988
595.500000, 10.212084
595.250000, 10.208039
595.000000, 10.208526
594.750000, 10.202307
594.500000, 10.204583
594.250000, 10.202953
594.000000, 10.203454
593.750000, 10.200878
593.500000, 10.204416
593.250000, 10.202553
593.000000, 10.205842
592.750000, 10.204520
592.500000, 10.205228
592.250000, 10.207916
592.000000, 10.212011
591.750000, 10.212750
591.500000, 10.217809
591.250000, 10.217025
591.000000, 10.221890
590.750000, 10.228055
590.500000, 10.227339
590.250000, 10.232782
590.000000, 10.238696
589.750000, 10.245212
589.500000, 10.248852
589.250000, 10.254942
589.000000, 10.262836
588.750000, 10.270039
588.500000, 10.275247
588.250000, 10.283680
588.000000, 10.292061
587.750000, 10.301071
587.500000, 10.309582
587.250000, 10.320986
587.000000, 10.327099
586.750000, 10.339679
586.500000, 10.346948
586.250000, 10.355017
586.000000, 10.365587
585.750000, 10.378213
585.500000, 10.386016
585.250000, 10.402425
585.000000, 10.411148
584.750000, 10.424619
584.500000, 10.434413
584.250000, 10.447702
584.000000, 10.458918
583.750000, 10.473112
583.500000, 10.485484
583.250000, 10.501808
583.000000, 10.514629
582.750000, 10.525642
582.500000, 10.540909
582.250000, 10.556596
582.000000, 10.569830
581.750000, 10.584510
581.500000, 10.596813
581.250000, 10.615455
581.000000, 10.629445
580.750000, 10.644838
580.500000, 10.661487
580.250000, 10.675597
580.000000, 10.691863
579.750000, 10.709872
579.500000, 10.721487
579.250000, 10.739796
579.000000, 10.756942
578.750000, 10.772668
578.500000, 10.789255
578.250000, 10.805106
578.000000, 10.820684
577.750000, 10.839300
577.500000, 10.857430
577.250000, 10.872041
577.000000, 10.888033
576.750000, 10.906423
576.500000, 10.924282
576.250000, 10.940612
576.000000, 10.959997
575.750000, 10.976450
575.500000, 10.994375
575.250000, 11.014137
575.000000, 11.032857
574.750000, 11.048602
574.500000, 11.063648
574.250000, 11.084068
574.000000, 11.102540
573.750000, 11.117263
573.500000, 11.135053
573.250000, 11.153769
573.000000, 11.172037
572.750000, 11.191815
572.500000, 11.210735
572.250000, 11.230391
572.000000, 11.246809
571.750000, 11.265725
571.500000, 11.280917
571.250000, 11.298848
571.000000, 11.314681
570.750000, 11.335184
570.500000, 11.353445
570.250000, 11.370029
570.000000, 11.387798
569.750000, 11.405876
569.500000, 11.425237
569.250000, 11.443917
569.000000, 11.458902
568.750000, 11.477627
568.500000, 11.495370
568.250000, 11.510220
568.000000, 11.530246
567.750000, 11.546935
567.500000, 11.564273
567.250000, 11.581326
567.000000, 11.597925
566.750000, 11.615679
566.500000, 11.633784
566.250000, 11.649856
566.000000, 11.664863
565.750000, 11.680932
565.500000, 11.697282
565.250000, 11.715316
565.000000, 11.730916
564.750000, 11.747657
564.500000, 11.761978
564.250000, 11.776985
564.000000, 11.795935
563.750000, 11.812665
563.500000, 11.827752
563.250000, 11.842219
563.000000, 11.855260
562.750000, 11.869704
562.500000, 11.884200
562.250000, 11.899587
562.000000, 11.914251
561.750000, 11.930349
561.500000, 11.942961
561.250000, 11.957346
561.000000, 11.971496
560.750000, 11.986210
560.500000, 11.998175
560.250000, 12.011354
560.000000, 12.024732
559.750000, 12.036501
559.500000, 12.045942
559.250000, 12.055917
559.000000, 12.069099
558.750000, 12.082693
558.500000, 12.092746
558.250000, 12.104439
558.000000, 12.115209
557.750000, 12.124018
557.500000, 12.132698
557.250000, 12.145238
557.000000, 12.156365
556.750000, 12.165475
556.500000, 12.174592
556.250000, 12.184312
556.000000, 12.192364
555.750000, 12.200532
555.500000, 12.207338
555.250000, 12.215226
555.000000, 12.223704
554.750000, 12.230162
554.500000, 12.238531
554.250000, 12.246745
554.000000, 12.253311
553.750000, 12.259161
553.500000, 12.264465
553.250000, 12.270067
553.000000, 12.273800
552.750000, 12.279120
552.500000, 12.284884
552.250000, 12.288652
552.000000, 12.293308
551.750000, 12.299083
551.500000, 12.300724
551.250000, 12.304831
551.000000, 12.310730
550.750000, 12.311874
550.500000, 12.313039
550.250000, 12.315006
550.000000, 12.319612
549.750000, 12.322722
549.500000, 12.321797
549.250000, 12.322852
549.000000, 12.325167
548.750000, 12.326282
548.500000, 12.326369
548.250000, 12.326341
548.000000, 12.325866
547.750000, 12.326301
547.500000, 12.327870
547.250000, 12.327663
547.000000, 12.324364
546.750000, 12.322069
546.500000, 12.321072
546.250000, 12.318266
546.000000, 12.316618
545.750000, 12.315879
545.500000, 12.313692
545.250000, 12.309096
545.000000, 12.303332
544.750000, 12.301034
544.500000, 12.297765
544.250000, 12.292977
544.000000, 12.288757
543.750000, 12.283746
